,idProposicao,idDeputadoAutor
1158,2234180,204421.0
1159,2234179,204421.0
1160,2234178,73772.0
1163,2234175,73772.0
1167,2234171,73772.0
1169,2234169,73772.0
1170,2234168,73772.0
1172,2234166,73772.0
1173,2234165,73772.0
1174,2234164,73772.0
1175,2234163,205535.0
1176,2234162,204398.0
1177,2234161,73772.0
1178,2234160,73772.0
1179,2234159,73772.0
1180,2234158,204398.0
1181,2234157,160538.0
1182,2234156,73772.0
1183,2234155,204372.0
1184,2234154,160538.0
1185,2234153,73772.0
1186,2234152,204372.0
1187,2234151,73772.0
1188,2234150,178981.0
1189,2234149,73772.0
1190,2234148,178981.0
1191,2234147,73772.0
1192,2234146,178842.0
1193,2234145,204523.0
1194,2234144,73772.0
1195,2234143,73772.0
1196,2234142,204433.0
1197,2234141,143632.0
1198,2234140,73486.0
1199,2234139,204421.0
1200,2234138,204421.0
1201,2234137,204496.0
1202,2234136,204496.0
1203,2234135,204421.0
1204,2234134,204421.0
1205,2234133,204421.0
1206,2234132,141391.0
1207,2234131,141391.0
1208,2234129,73891.0
1209,2234128,141391.0
1210,2234126,204452.0
1211,2234124,204416.0
1212,2234123,141405.0
1213,2234122,160538.0
1214,2234121,160538.0
1215,2234120,160538.0
1216,2234119,81297.0
1217,2234118,178912.0
1218,2234116,204576.0
1219,2234115,178954.0
1220,2234112,204388.0
1221,2234109,178876.0
1222,2234108,178876.0
1223,2234107,178876.0
1224,2234106,178876.0
1225,2234105,178876.0
1226,2234104,204365.0
1227,2234103,178876.0
1228,2234102,204427.0
1229,2234101,204365.0
1230,2234100,204365.0
1231,2234099,133439.0
1232,2234098,133439.0
1233,2234096,204559.0
1234,2234093,204372.0
1235,2234092,204372.0
1236,2234091,204372.0
1237,2234090,204372.0
1238,2234089,204524.0
1239,2234088,204524.0
1240,2234087,204457.0
1241,2234084,204543.0
1242,2234083,204524.0
1243,2234082,177282.0
1244,2234080,204514.0
1245,2234079,204514.0
1246,2234077,178985.0
1247,2234076,141470.0
1248,2234075,141470.0
1249,2234074,141470.0
1250,2234071,204461.0
1251,2234070,141405.0
1252,2234069,204468.0
1253,2234068,204468.0
1254,2234067,204468.0
1255,2234066,204468.0
1256,2234065,204468.0
1257,2234064,204555.0
1258,2234063,204555.0
1259,2234062,204555.0
1260,2234061,204555.0
1261,2234060,204555.0
1262,2234059,204555.0
1263,2234058,204555.0
1264,2234057,204555.0
1265,2234056,204555.0
1266,2234055,204555.0
1267,2234054,204555.0
1268,2234053,204555.0
1269,2234052,204555.0
1270,2234051,204555.0
1271,2234050,204555.0
1272,2234049,204555.0
1273,2234048,204555.0
1274,2234047,204555.0
1275,2234046,204527.0
1276,2234045,204555.0
1277,2234044,204555.0
1278,2234043,73441.0
1279,2234042,73441.0
1280,2234041,204518.0
1281,2234039,204569.0
1283,2234037,204469.0
1284,2234036,204469.0
1285,2234035,178985.0
1286,2234034,204536.0
1287,2234033,204536.0
1288,2234030,204569.0
1289,2234029,204527.0
1290,2234028,204527.0
1291,2234027,204527.0
1292,2234026,204527.0
1296,2234018,178981.0
1298,2234014,204518.0
1299,2234013,204518.0
1300,2234012,204518.0
1303,2234002,178970.0
1313,2233992,160508.0
1315,2233988,204461.0
1318,2233985,204461.0
1322,2233981,204461.0
1323,2233980,204461.0
1324,2233979,204461.0
1325,2233978,204466.0
1326,2233977,204466.0
1327,2233976,204466.0
1328,2233974,204461.0
1329,2233973,204472.0
1331,2233970,92346.0
1332,2233969,204441.0
1333,2233968,204435.0
1334,2233967,204435.0
1335,2233966,204435.0
1336,2233965,204435.0
1337,2233964,204435.0
1338,2233963,204435.0
1339,2233962,204435.0
1342,2233959,204392.0
1346,2233952,205535.0
1347,2233951,205535.0
1348,2233950,205535.0
1349,2233949,204462.0
1350,2233948,204466.0
1351,2233947,74057.0
1353,2233945,204466.0
1354,2233944,204466.0
1355,2233943,204466.0
1356,2233942,204466.0
1357,2233941,204472.0
1358,2233940,74057.0
1359,2233939,74376.0
1360,2233937,74057.0
1361,2233936,74057.0
1362,2233935,141508.0
1363,2233934,204398.0
1364,2233933,141488.0
1365,2233932,160587.0
1367,2233930,73943.0
1368,2233929,73943.0
1369,2233928,73943.0
1370,2233927,73943.0
1371,2233926,73943.0
1372,2233925,73943.0
1373,2233924,205550.0
1381,2233916,204352.0
1382,2233915,160531.0
1385,2233912,74209.0
1386,2233911,74363.0
1387,2233910,74363.0
1388,2233909,74363.0
1392,2233904,160665.0
1393,2233903,160665.0
1394,2233902,204483.0
1395,2233901,178910.0
1396,2233900,178910.0
1397,2233899,204376.0
1398,2233898,204376.0
1399,2233897,204376.0
1400,2233896,205865.0
1401,2233895,178910.0
1404,2233892,74398.0
1406,2233890,178933.0
1407,2233889,178933.0
1410,2233884,204481.0
1413,2233881,74585.0
1414,2233880,204399.0
1415,2233879,73531.0
1416,2233878,73531.0
1417,2233877,160639.0
1418,2233876,160639.0
1419,2233875,74052.0
1420,2233874,74052.0
1421,2233872,160639.0
1422,2233871,141464.0
1423,2233870,160639.0
1424,2233869,204531.0
1425,2233867,178975.0
1426,2233866,204461.0
1427,2233865,159237.0
1433,2233858,141428.0
1434,2233857,141421.0
1435,2233856,204570.0
1436,2233854,204488.0
1437,2233853,204404.0
1438,2233852,204430.0
1439,2233851,74052.0
1440,2233850,204422.0
1441,2233849,160570.0
1442,2233848,160570.0
1443,2233847,178959.0
1444,2233846,204570.0
1445,2233845,154178.0
1446,2233844,73604.0
1447,2233843,73604.0
1448,2233842,205863.0
1451,2233837,204521.0
1452,2233836,204521.0
1453,2233832,204482.0
1455,2233829,162332.0
1457,2233826,92699.0
1458,2233825,164359.0
1460,2233821,204527.0
1462,2233819,204507.0
1463,2233817,159237.0
1464,2233816,159237.0
1465,2233815,204393.0
1466,2233814,159237.0
1467,2233813,159237.0
1468,2233812,159237.0
1469,2233811,159237.0
1471,2233809,159237.0
1472,2233808,156190.0
1473,2233807,204544.0
1474,2233806,204393.0
1475,2233805,159237.0
1476,2233803,178929.0
1477,2233802,74161.0
1478,2233801,74161.0
1479,2233799,141450.0
1480,2233799,204523.0
1481,2233798,178994.0
1482,2233797,178994.0
1483,2233796,178994.0
1484,2233795,204398.0
1485,2233794,204398.0
1486,2233793,204398.0
1487,2233792,204398.0
1488,2233790,204429.0
1489,2233789,204429.0
1490,2233788,178994.0
1491,2233787,178994.0
1492,2233787,204459.0
1493,2233786,171617.0
1494,2233785,178920.0
1495,2233783,204506.0
1496,2233782,204506.0
1497,2233781,204506.0
1498,2233780,204506.0
1499,2233779,204506.0
1500,2233778,204506.0
1501,2233777,204506.0
1502,2233776,204506.0
1503,2233775,204506.0
1504,2233774,204506.0
1505,2233773,204506.0
1506,2233772,204506.0
1507,2233771,204414.0
1508,2233770,204506.0
1509,2233769,204506.0
1510,2233768,204506.0
1511,2233767,204414.0
1512,2233766,204506.0
1513,2233765,204506.0
1514,2233764,204506.0
1515,2233763,204506.0
1516,2233762,204506.0
1517,2233761,204506.0
1518,2233760,204506.0
1519,2233759,204506.0
1521,2233757,204433.0
1522,2233756,204506.0
1523,2233755,204506.0
1524,2233754,204506.0
1525,2233753,204506.0
1526,2233752,204433.0
1527,2233751,204506.0
1528,2233750,204506.0
1529,2233748,204506.0
1530,2233747,204506.0
1531,2233746,204433.0
1532,2233745,204506.0
1533,2233744,204506.0
1534,2233743,204506.0
1535,2233742,204506.0
1536,2233741,204433.0
