,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento
6691,141411,Dagoberto Nogueira,56,DAGOBERTO NOGUEIRA FILHO,M,SP,Sao Jose do Rio Preto
6697,141417,Edio Lopes,56,EDIO VIEIRA LOPES,M,SP,Presidente Epitacio
6701,141421,Eduardo da Fonte,56,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,PE,Recife
6702,141422,Efraim Filho,56,EFRAIM DE ARAUJO MORAIS FILHO,M,PB,Joao Pessoa
6707,141427,Fabio Ramalho,56,FABIO AUGUSTO RAMALHO DOS SANTOS,M,DF,Brasilia
6708,141428,Fabio Faria,56,FABIO SALUSTINO MESQUITA DE FARIA,M,RN,Natal
6711,141431,Fernando Coelho Filho,56,FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,PE,Recife
6714,141434,Flaviano Melo,56,FLAVIANO FLAVIO BAPTISTA DE MELO,M,AC,Rio Branco
6719,141439,Chico D'Angelo,56,FRANCISCO JOSE D'ANGELO PINTO,M,RJ,Campos dos Goytacazes
6730,141450,Hugo Leal,56,HUGO LEAL MELO DA SILVA,M,MG,Ouro Fino
6738,141458,Joao Carlos Bacelar,56,JOAO CARLOS PAOLILO BACELAR FILHO,M,BA,Salvador
6739,141459,Joao Maia,56,JOAO DA SILVA MAIA,M,PB,Brejo do Cruz
