,Unnamed: 0,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento,betweenness_centrality
268,7256,178937,Altineu Cortes,56,ALTINEU CORTES FREITAS COUTINHO,M,RJ,Sao Goncalo,0.0
269,7258,178939,Clarissa Garotinho,56,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,RJ,Campos dos Goytacazes,0.0
271,7264,178945,Rosangela Gomes,56,ROSANGELA DE SOUZA GOMES,F,RJ,Rio de Janeiro,0.0
272,7265,178946,Soraya Santos,56,SORAYA ALENCAR DOS SANTOS,F,RJ,Macae,0.0
273,7266,178947,Sostenes Cavalcante,56,SOSTENES SILVA CAVALCANTE,M,AL,Maceio,0.0
274,7267,178948,Beto Rosado,56,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,RN,Mossoro,0.0
275,7270,178951,Rafael Motta,56,RAFAEL HUETE DA MOTTA,M,RN,Natal,0.0
276,7271,178952,Walter Alves,56,WALTER PEREIRA ALVES,M,RN,Natal,0.0
277,7272,178953,Expedito Netto,56,EXPEDITO GONCALVES FERREIRA NETTO,M,RO,Porto Velho,0.0
278,7273,178954,Lucio Mosquini,56,LUCIO ANTONIO MOSQUINI,M,MT,Rondonopolis,0.0
279,7275,178956,Mariana Carvalho,56,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,F,SP,Sao Paulo,0.0
280,7278,178959,Hiran Goncalves,56,HIRAN MANUEL GONCALVES DA SILVA,M,AM,Tefe,2.956933409496114e-05
281,7280,178961,Sheridan,56,SHERIDAN ESTERFANY OLIVEIRA,F,RR,Boa Vista,0.0
282,7281,178962,Carlos Gomes,56,ANTONIO CARLOS GOMES DA SILVA,M,BA,Saude,0.0
284,7283,178964,Heitor Schuch,56,HEITOR JOSE SCHUCH,M,RS,Santa Cruz do Sul,0.0
285,7285,178966,Geovania de Sa,56,Geovania de Sa,F,SC,Criciuma,0.0
286,7288,178969,Fabio Mitidieri,56,FABIO CRUZ MITIDIERI,M,SE,Aracaju,0.0
287,7289,178970,Joao Daniel,56,JOAO SOMARIVA DANIEL,M,SC,Sao Lourenco D'Oeste,0.0
288,7291,178972,Alex Manente,56,ALEX SPINELLI MANENTE,M,SP,Sao Bernardo do Campo,0.0
289,7294,178975,Baleia Rossi,56,LUIZ FELIPE BALEIA TENUTO ROSSI,M,SP,Sao Paulo,0.0
290,7296,178977,Eduardo Cury,56,EDUARDO PEDROSA CURY,M,SP,Sao Jose dos Campos,0.0
291,7300,178981,Herculano Passos,56,HERCULANO CASTILHO PASSOS JUNIOR,M,SP,Itu,0.0010391189505883664
293,7302,178983,Marcio Alvino,56,MARCIO LUIZ ALVINO DE SOUZA,M,SP,Sao Paulo,0.0
294,7303,178984,Miguel Haddad,56,MIGUEL MOUBADDA HADDAD,M,SP,Jundiai,0.0
295,7304,178985,Miguel Lombardi,56,MIGUEL LOMBARDI,M,SP,Limeira,0.0
296,7305,178986,Nilto Tatto,56,NILTO IGNACIO TATTO,M,RS,Frederico Westphalen,0.0
297,7306,178987,Orlando Silva,56,ORLANDO SILVA DE JESUS JUNIOR,M,BA,Salvador,0.0
298,7308,178989,Renata Abreu,56,RENATA HELLMEISTER DE ABREU,F,SP,Sao Paulo,0.0
299,7309,178990,Samuel Moreira,56,SAMUEL MOREIRA DA SILVA JUNIOR,M,MG,Governador Valadares,0.0006475212167782424
300,7311,178992,Vitor Lippi,56,VITOR LIPPI,M,SP,Sao Paulo,0.0
301,7312,178993,Carlos Henrique Gaguim,56,CARLOS HENRIQUE AMORIM,M,GO,Ceres,0.0
302,7313,178994,Dulce Miranda,56,DULCE FERREIRA PAGANI MIRANDA,F,MG,Pocrane,0.0
303,7315,178996,Giovani Feltes,56,GIOVANI BATISTA FELTES,M,RS,Sao Leopoldo,0.0
304,7316,178997,Moses Rodrigues,56,MOSES HAENDEL MELO RODRIGUES,M,CE,Sobral,0.0
305,7319,179000,Marcelo Alvaro Antonio,56,MARCELO HENRIQUE TEIXEIRA DIAS,M,MG,Belo Horizonte,0.0
306,7320,179001,Marcio Biolchi,56,MARCIO DELLA VALLE BIOLCHI,M,RS,Carazinho,0.0
307,7330,179587,Vitor Hugo,56,VITOR HUGO DE ARAUJO ALMEIDA,M,BA,Salvador,0.0
308,7338,188097,Merlong Solano,56,MERLONG SOLANO NOGUEIRA,M,PI,Valenca do Piaui,0.0
309,7342,191923,Flavio Nogueira,56,FLAVIO RODRIGUES NOGUEIRA,M,CE,Alto Santo,0.0
310,7348,193726,Paulo Eduardo Martins,56,PAULO EDUARDO LIMA MARTINS,M,SP,Presidente Venceslau,0.0
311,7352,194260,Nivaldo Albuquerque,56,NIVALDO FERREIRA DE ALBUQUERQUE NETO,M,AL,Maceio,0.0
312,7361,195866,Vaidon Oliveira,56,FRANCISCO VAIDON OLIVEIRA,M,CE,Acarau,0.0
313,7364,196358,Lourival Gomes,56,LOURIVAL GOMES DE ALMEIDA,M,RJ,Rio de Janeiro,0.0
314,7367,197438,Tito,56,CARLOS TITO MARQUES CORDEIRO,M,BA,Santa Maria da Vitoria,0.0
315,7368,198197,Greyce Elias,56,GREYCE DE QUEIROZ ELIAS,F,MG,Patrocinio,0.0
316,7370,198783,Emanuel Pinheiro Neto,56,EMANUEL PINHEIRO DA SILVA PRIMO,M,MT,Cuiaba,0.0
317,7378,204351,Dr. Luiz Ovando,56,LUIZ ALBERTO OVANDO,M,MS,Corumba,0.0
318,7379,204352,Camilo Capiberibe,56,CARLOS CAMILO GOES CAPIBERIBE,M,,Santiago,0.0
319,7380,204353,Aline Gurgel,56,ALINE PARANHOS VARONIL GURGEL,F,AP,Macapa,0.005944167511807271
320,7381,204354,Flavia Arruda,56,FLAVIA CAROLINA PERES,F,DF,Brasilia,0.0
321,7382,204355,Da Vitoria,56,JOSIAS MARIO DA VITORIA,M,ES,Colatina,0.0
322,7383,204356,Amaro Neto,56,AMARO ROCHA NASCIMENTO NETO,M,ES,Vitoria,0.0
323,7384,204357,Rose Modesto,56,ROSIANE MODESTO  DE OLIVEIRA,F,MS,Fatima do Sul,0.0
324,7385,204358,Beto Pereira,56,HUMBERTO REZENDE PEREIRA,M,MS,Campo Grande,0.0
325,7386,204359,Leo Moraes,56,LEONARDO BARRETO DE MORAES,M,PR,Foz do Iguacu,0.007177740732144073
326,7387,204360,Silvia Cristina,56,SILVIA CRISTINA AMANCIO CHAGAS,F,RO,Ji-Parana,0.0
327,7388,204361,Carlos Chiodini,56,CARLOS ALBERTO CHIODINI,M,SC,Jaragua do Sul,0.0
328,7389,204362,Ricardo Guidi,56,RICARDO ZANATTA GUIDI,M,SC,Criciuma,0.0
329,7390,204363,Osires Damaso,56,OSIRES RODRIGUES DAMASO,M,GO,Campinorte,0.0
330,7391,204364,Eli Borges,56,ELI DIAS BORGES,M,GO,Ipameri,0.0
331,7392,204365,Gilson Marques,56,GILSON MARQUES VIEIRA,M,SC,Rio do Sul,0.0
332,7393,204366,Rodrigo Coelho,56,RODRIGO COELHO,M,SC,Joinville,0.0
333,7394,204367,Daniel Freitas,56,DANIEL COSTA DE FREITAS,M,SC,Criciuma,0.0
334,7395,204368,Fabio Schiochet,56,FABIO LUIZ SCHIOCHET FILHO,M,SC,Jaragua do Sul,0.0
335,7396,204369,Caroline de Toni,56,CAROLINE RODRIGUES DE TONI,F,SC,Chapeco,0.004904163915259265
336,7397,204370,Celio Moura,56,CELIO ALVES DE MOURA,M,MG,Arapua,0.0
337,7398,204371,Felipe Rigoni,56,FELIPE RIGONI LOPES,M,ES,Linhares,0.0
338,7399,204372,Julio Cesar Ribeiro,56,JULIO CESAR RIBEIRO,M,SP,Sao Bernardo do Campo,0.0
339,7400,204373,Helio Costa,56,HELIO FRANCISCO DA COSTA,M,SC,Florianopolis,0.0
340,7401,204374,Bia Kicis,56,BEATRIZ KICIS TORRENTS DE SORDI,F,RJ,Resende,0.0
341,7402,204375,Leda Sadala,56,LEDA MARIA SADALA BRITO,F,PA,Almeirim,0.0
342,7403,204376,Coronel Armando,56,LUIZ ARMANDO SCHROEDER REIS,M,RJ,Resende,0.0
343,7404,204377,Paula Belmonte,56,PAULA MORENO PARO BELMONTE,F,SP,SAO PAULO,0.0
344,7405,204378,Coronel Chrisostomo,56,JOAO CHRISOSTOMO DE MOURA,M,AM,Tefe,0.0
345,7406,204379,Acacio Favacho,56,ACACIO DA SILVA FAVACHO NETO,M,AP,Macapa,0.0
346,7407,204380,Celina Leao,56,CELINA LEAO HIZIM FERREIRA,F,GO,Goiania,0.0
347,7408,204381,Luis Miranda,56,LUIS CLAUDIO FERNANDES MIRANDA,M,DF,Brasilia,0.0
348,7409,204382,Loester Trutis,56,LOESTER CARLOS GOMES DE SOUZA,M,MS,Campo Grande,0.0
349,7410,204383,Professor Israel Batista,56,ISRAEL MATOS BATISTA,M,DF,Brasilia,0.0
351,7412,204385,Valdevan Noventa,56,Jose Valdevan de Jesus Santos,M,SE,Estancia,0.0
352,7413,204386,Jose Mario Schreiner,56,JOSE MARIO SCHREINER,M,SC,Porto Uniao,0.0
353,7414,204387,Sargento Fahur,56,GILSON CARDOSO FAHUR,M,PR,Londrina,0.0
354,7415,204388,Bibo Nunes,56,ALCIBIO MESQUITA BIBO NUNES,M,RS,Cruz Alta,0.0
