deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo
178981,Herculano Passos,55,56,M
178982,Luiz Lauro Filho,55,56,M
178983,Marcio Alvino,55,56,M
178984,Miguel Haddad,55,56,M
178985,Miguel Lombardi,55,56,M
178986,Nilto Tatto,55,56,M
178987,Orlando Silva,55,56,M
178988,JOAO PAULO PAPA,55,55,M
178989,Renata Abreu,55,56,F
178990,Samuel Moreira,55,56,M
178991,SERGIO REIS,55,55,M
178992,Vitor Lippi,55,56,M
178993,Carlos Henrique Gaguim,55,56,M
178994,Dulce Miranda,55,56,F
178995,ROBERTO GOES,55,55,M
178996,Giovani Feltes,55,56,M
178997,Moses Rodrigues,55,56,M
178998,RAQUEL MUNIZ,55,55,F
178999,BRUNNY,55,55,F
179000,Marcelo Alvaro Antonio,55,56,M
179001,Marcio Biolchi,55,56,M
180545,OSMAR BERTOLDI,55,55,M
181315,MARQUINHO MENDES,55,55,M
181316,ELIZEU DIONIZIO,55,55,M
185500,DEOCLIDES MACEDO,55,55,M
186775,FRANKLIN,55,55,M
187008,SILAS FREIRE,55,55,M
188097,Merlong Solano,55,56,M
189593,WADIH DAMOUS,55,55,M
190149,FABRICIO OLIVEIRA,55,55,M
191684,ROSANGELA CURADO,55,55,F
191923,Flavio Nogueira,55,56,M
191945,ZE AUGUSTO NALIN,55,55,M
192120,ANGELA ALBINO,55,55,F
193066,WILSON BESERRA,55,55,M
193069,NELSON NAHIM,55,55,M
193165,ATILA A. NUNES,55,55,M
193726,Paulo Eduardo Martins,55,56,M
193982,PASTOR LUCIANO BRAGA,55,55,M
194258,CREUZA PEREIRA,55,55,F
194259,GUILHERME COELHO,55,55,M
194260,Nivaldo Albuquerque,55,56,M
194261,CAJAR NARDES,55,55,M
194262,JONES MARTINS,55,55,M
194340,VAL AMELIO,55,55,M
194592,ILDON MARQUES,55,55,M
195143,ANDRE AMARAL,55,55,M
195278,MOISES DINIZ,55,55,M
195581,RICARDO BENTINHO,55,55,M
195826,MARCELO DELAROLI,55,55,M
195866,Vaidon Oliveira,55,56,M
195997,POLLYANA GAMA,55,55,F
196357,DEJORGE PATRICIO,55,55,M
196358,Lourival Gomes,55,56,M
196359,ADERMIS MARINI,55,55,M
196378,IZAQUE SILVA,55,55,M
198198,LUZIA FERREIRA,55,55,F
198963,ROGERIO SILVA,55,55,M
199809,XUXU DAL MOLIN,55,55,M
200153,PROF. GEDEAO AMORIM,55,55,M
201357,JUNIOR CORINGA,55,55,M
202063,OSVALDO MAFRA,55,55,M
202915,EURICELIA CARDOSO,55,55,F
204011,PROFESSOR PACCO,55,55,M
204651,FREITAS DO PT,55,55,M
204760,WASHINGTON CORACAO VALENTE,55,55,M
205234,FELIPE SOUZA,55,55,M
205297,MARFIZA GALVAO,55,55,F
205298,GUSTAVO MITRE,55,55,M
205302,CORONEL BITTENCOURT,55,55,M
205303,CARLA STEPHANINI,55,55,F
