,Unnamed: 0,deputado_id,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,ufNascimento,betweenness_centrality,eigenvecto_centrality
350,6923,160528,54,56,M,PE,0.0,3.9074932244178144e-11
353,6926,160531,54,56,M,RR,0.0,3.9074932244178144e-11
354,6927,160532,54,56,M,SP,0.0,3.9074932244178144e-11
356,6929,160534,54,56,F,ES,0.0,3.9074932244178144e-11
357,6930,160535,54,56,M,RS,0.0,3.9074932244178144e-11
360,6933,160538,54,56,M,RS,0.0,3.9074932244178144e-11
363,6936,160541,54,56,M,AL,0.0,3.9074932244178144e-11
367,6940,160545,54,56,M,SP,0.00041090398973124976,0.06274422316026852
374,6947,160552,54,56,M,RS,0.0,3.9074932244178144e-11
375,6948,160553,54,56,M,BA,0.0,3.9074932244178144e-11
378,6951,160556,54,56,M,MG,0.0,3.9074932244178144e-11
380,6953,160558,54,56,M,SP,0.0,3.9074932244178144e-11
381,6954,160559,54,56,M,RS,0.0,3.9074932244178144e-11
390,6964,160569,54,56,M,BA,0.0,3.9074932244178144e-11
391,6965,160570,54,56,M,RS,0.0,3.9074932244178144e-11
396,6970,160575,54,56,F,CE,0.0011913992161728287,0.07923425899604299
407,6981,160587,54,56,M,MS,0.0027057601308883637,0.1803274628818375
408,6982,160588,54,56,M,MG,0.0,3.9074932244178144e-11
409,6983,160589,54,56,F,SP,0.0,3.9074932244178144e-11
412,6986,160592,54,56,M,PR,0.0,3.9074932244178144e-11
418,6992,160598,54,56,F,MG,0.0,3.9074932244178144e-11
419,6993,160599,54,56,M,RJ,0.0,3.9074932244178144e-11
420,6994,160600,54,56,M,BA,0.0,3.9074932244178144e-11
421,6995,160601,54,56,M,SP,0.0006683261130667445,0.09432156017250544
424,6998,160604,54,56,M,SC,0.0,3.9074932244178144e-11
429,7004,160610,54,56,M,BA,0.0,3.9074932244178144e-11
438,7013,160619,54,56,M,PE,0.0,3.9074932244178144e-11
451,7026,160632,54,56,M,MG,0.00018109327847498605,0.015378917747474952
