deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,betweenness_centrality,eigenvecto_centrality,Frentes
141405,Celso Maldaner,53,56,M,0.00019384602430711192,0.03381260350649081,272
141408,Cleber Verde,53,56,M,0.0,3.9074932244178144e-11,248
141411,Dagoberto Nogueira,53,56,M,0.0,3.9074932244178144e-11,213
141417,Edio Lopes,53,56,M,0.0,3.9074932244178144e-11,261
141421,Eduardo da Fonte,53,56,M,0.0,3.9074932244178144e-11,122
141422,Efraim Filho,53,56,M,0.0005521255697272912,0.01300215174095548,103
141427,Fabio Ramalho,53,56,M,0.0,3.9074932244178144e-11,47
141428,Fabio Faria,53,56,M,0.0,3.9074932244178144e-11,107
141431,Fernando Coelho Filho,53,56,M,0.0,3.9074932244178144e-11,139
141434,Flaviano Melo,53,56,M,0.0,3.9074932244178144e-11,20
141439,Chico D'Angelo,53,56,M,0.0,3.9074932244178144e-11,107
141450,Hugo Leal,53,56,M,0.0,3.9074932244178144e-11,122
141458,Joao Carlos Bacelar,53,56,M,0.0,3.9074932244178144e-11,86
141459,Joao Maia,53,56,M,0.0,3.9074932244178144e-11,0
141464,Jose Airton Felix Cirilo,53,56,M,0.0,3.9074932244178144e-11,90
141470,Jose Guimaraes,53,56,M,0.0,3.9074932244178144e-11,109
141488,Paulo Teixeira,53,56,M,0.0,3.9074932244178144e-11,214
141508,Mauro Nazif,53,56,M,0.0,3.9074932244178144e-11,0
141513,Bilac Pinto,53,56,M,0.0,3.9074932244178144e-11,214
141516,Paulo Abi-Ackel,53,56,M,0.0,3.9074932244178144e-11,142
141518,Paulo Pereira da Silva,53,56,M,0.0011996154570260821,0.09409832254472357,78
141523,Raul Henry,53,56,M,0.0,3.9074932244178144e-11,0
141531,Rodrigo de Castro,53,56,M,0.0,3.9074932244178144e-11,157
141552,Valtenir Pereira,53,56,M,0.0,3.9074932244178144e-11,216
141553,Vanderlei Macris,53,56,M,0.0,3.9074932244178144e-11,214
141555,Vinicius Carvalho,53,56,M,0.0,3.9074932244178144e-11,209
143632,Domingos Neto,54,56,M,0.0,3.9074932244178144e-11,159
146307,Neri Geller,53,56,M,0.0,3.9074932244178144e-11,0
146788,Marcelo Aro,55,56,M,0.0,3.9074932244178144e-11,26
150418,Marcio Marinho,53,56,M,0.0,3.9074932244178144e-11,242
151208,Laercio Oliveira,53,56,M,0.0,3.9074932244178144e-11,197
152605,Glauber Braga,53,56,M,0.0,3.9074932244178144e-11,104
152610,Roberto Alves,53,56,M,0.0,3.9074932244178144e-11,219
154178,Milton Vieira,53,56,M,0.0,3.9074932244178144e-11,0
159237,Assis Carvalho,54,56,M,0.0,3.9074932244178144e-11,143
