idVotacao,voto,deputado_id,deputado_siglaPartido,pardido_id,deputado_siglaUf
1063052-76,1,178959,PMB,36887,RR
1063052-76,1,178849,PPS,36813,AM
1063052-76,1,160674,PMDB,36800,PB
1063052-76,1,141389,PSD,36834,RJ
1063052-76,1,67138,PP,36809,PI
1063052-76,1,81232,PSD,36834,TO
1063052-76,1,178855,PSC,36833,BA
1063052-76,1,73531,PSOL,36839,SP
1063052-76,1,4931,PSDB,36835,DF
1063052-76,1,74665,PSD,36834,MG
1063052-76,1,74847,PP,36809,RJ
1063052-76,1,74848,PCdoB,36779,RJ
1063052-76,1,73926,PSB,36832,AP
1063052-76,1,131943,PMDB,36800,PE
1063052-76,1,160672,PSOL,36839,RJ
1063052-76,1,74273,PSD,36834,SP
1063052-76,1,178842,PSB,36832,AL
1063052-76,1,160531,PRB,36815,RR
1063052-76,1,141503,PCdoB,36779,MG
1063052-76,1,160573,PMDB,36800,PR
1063052-76,1,74366,PSDB,36835,GO
1063052-76,1,141458,PR,36814,BA
1063052-76,1,74445,PSDB,36835,MA
1063052-76,1,178970,PT,36844,SE
1063052-76,1,178965,REDE,36886,RS
1063052-76,1,178917,PSB,36832,PE
1063052-76,1,178856,PSDB,36835,BA
1063052-76,1,112437,PMDB,36800,MA
1063052-76,1,178988,PSDB,36835,SP
1063052-76,1,160571,PSD,36834,SC
1063052-76,1,178910,PSD,36834,PA
1063052-76,1,178971,PRB,36815,SE
1063052-76,1,74388,PP,36809,SC
1063052-76,1,160572,PTB,36845,PE
1063052-76,1,178857,PT,36844,BA
1063052-76,1,74140,PSD,36834,BA
1063052-76,1,131966,PMDB,36800,RS
1063052-76,1,141470,PT,36844,CE
1063052-76,1,74275,PT,36844,SP
1063052-76,1,160619,PSD,36834,BA
1063052-76,1,74395,PP,36809,RS
1063052-76,1,74079,PMDB,36800,PA
1063052-76,1,73714,PSB,36832,MA
1063052-76,1,74554,PR,36814,BA
1063052-76,1,160607,PSB,36832,RS
1063052-76,1,114941,PMDB,36800,TO
1063052-76,1,74351,PTB,36845,PA
1063052-76,1,178851,PTB,36845,AP
1063052-76,1,67312,PSC,36833,PA
1063052-76,1,74317,PSD,36834,PI
1063052-76,1,73586,PSB,36832,MG
