idProposicao,idDeputadoAutor
2075163,160666.0
2075162,178932.0
2075161,141454.0
2075160,141454.0
2075159,178932.0
2075158,178901.0
2075157,73483.0
2075156,74095.0
2075155,74095.0
2075154,74095.0
2075152,141490.0
2075151,141490.0
2075150,178932.0
2075149,141515.0
2075148,141515.0
2075147,74095.0
2075146,73584.0
2075145,178874.0
2075144,74813.0
2075141,178930.0
2075140,74813.0
2075139,74813.0
2075138,74813.0
2075137,73483.0
2075136,178932.0
2075134,178932.0
2075133,178932.0
2075132,178932.0
2075131,178932.0
2075130,178932.0
2075128,178932.0
2075125,178932.0
2075124,178932.0
2075123,178932.0
2075122,178932.0
2075120,178932.0
2075119,178932.0
2075117,178932.0
2075115,178932.0
2075114,178932.0
2075113,178932.0
2075112,178932.0
2075111,178932.0
2075110,178932.0
2075109,178932.0
2075108,178932.0
2075107,178932.0
2075106,178932.0
2075105,178932.0
2075104,178932.0
2075103,178963.0
2075102,178932.0
2075101,178932.0
2075100,178932.0
2075099,178932.0
2075098,178830.0
2075097,178932.0
2075096,178932.0
2075095,178932.0
2075094,178932.0
2075093,178932.0
2075092,178932.0
2075091,178932.0
2075090,178932.0
2075089,178932.0
2075088,178932.0
2075086,178926.0
2075085,178978.0
2075083,73931.0
2075082,74210.0
2075081,160666.0
2075080,178937.0
2075079,73931.0
2075078,73931.0
2075077,74399.0
2075075,178830.0
2075074,178830.0
2075073,160622.0
2075072,178859.0
2075071,178859.0
2075070,178859.0
2075069,178859.0
2075068,141536.0
2075067,74210.0
2075066,160666.0
2075065,73486.0
2075064,73486.0
2075060,160512.0
2075058,160512.0
2075056,74762.0
2075055,160512.0
2075054,160512.0
2075053,160512.0
2075050,74470.0
2075049,178932.0
2075048,178932.0
2075047,178932.0
2075046,178932.0
2075045,178932.0
2075044,178932.0
2075043,178932.0
2075042,178932.0
2075041,178932.0
2075040,178932.0
2075039,178932.0
2075038,178932.0
2075037,178932.0
2075036,178932.0
2075035,178932.0
2075034,178932.0
2075033,178932.0
2075032,178932.0
2075031,178932.0
2075030,178932.0
2075029,178932.0
2075028,178932.0
2075027,178932.0
2075026,178932.0
2075025,178932.0
2075024,178932.0
2075023,178932.0
2075022,178932.0
2075021,178932.0
2075020,74385.0
2075019,178910.0
2075018,178910.0
2075017,178910.0
2075015,178930.0
2075014,73666.0
2075013,178848.0
2075009,160532.0
2075007,178869.0
2075006,178869.0
2075005,178841.0
2075004,178951.0
2075003,74253.0
2075002,178841.0
2075000,74784.0
2075000,171619.0
2074999,141450.0
2074998,141427.0
2074997,74210.0
2074993,124411.0
2074992,124411.0
2074991,178861.0
2074990,178861.0
2074989,178861.0
2074988,178861.0
2074987,178861.0
2074986,178861.0
2074985,178861.0
2074984,178861.0
2074983,178861.0
2074982,178861.0
2074981,178861.0
2074980,178861.0
2074979,178861.0
2074977,132504.0
2074976,133373.0
2074975,141536.0
2074974,141536.0
2074973,141536.0
2074972,141536.0
2074971,141411.0
2074970,141536.0
2074969,141536.0
2074968,141536.0
2074967,141536.0
2074966,74862.0
2074965,74862.0
2074964,146788.0
2074963,74862.0
2074962,141555.0
2074961,74862.0
2074959,146788.0
2074958,74862.0
2074957,74862.0
2074956,146788.0
2074955,74862.0
2074954,74862.0
2074953,74862.0
2074952,178966.0
2074951,74862.0
2074950,74862.0
